240	14649	4	82	32	CONFIRM	32	Sanctions 9.32(e)
241	14695	5	815	315	CONFIRM	315	$315,194.26
242	14700	3	2008	2003	CONFIRM	2003	expired in June 2003
243	14705	7	6	5	CONFIRM	5	scale of 0-5
244	14708	12	682	632	CONFIRM	632	Deck, 544 U.S. at 632
245	14714	13	883	833	UNCLEAR	833	crop shows different occurrence (833 F.2d at 751, not "at 752 n. 2"); same case printed as 833 F.2d
246	14743	46	1	8	CONFIRM	8	disbursements: 8. The legal fees of witnesses
247	14743	46	3	9	UNCLEAR		crop shows wrong passage (¶3 Fargo Marc, different opinion); context phrase absent
248	14743	46	4	9	UNCLEAR		crop identical to row 247, wrong passage; context phrase absent
249	14759	9	16	15	CONFIRM	15	2006 ND 245, ¶ 15
250	14777	13	2000	2006	CONFIRM	2006	print reads "2006 ND 6, ¶ 25, 604 N.W.2d 445." (604 N.W.2d parallel suggests possible court-side typo)
251	14790	7	460	450	UNCLEAR	450	crop shows full cite "Sitz, 496 U.S. 444, 450 (1990)" not the marked short cite "at 450, 110 S.Ct. 2481"; supports 450
252	14790	7	631	531	CONFIRM	531	Edmond, 531 U.S. 32, 38, 40
253	14812	32	18	48	CONFIRM	48	24-48 hours old
254	14838	31	1881	1882	CONFIRM	1882	L.Ed. 1157 (1882)
255	14839	14	308	303	CONFIRM	303	State v. Anderson, 303
256	14856	5	16	46	CONFIRM	46	N.D.C.C. § 28-32-46(1)
257	14884	1	47	17	CONFIRM	17	N.D.C.C. § 26.1-41-17
258	14890	4	588	583	CONFIRM	583	48 N.W.2d 578, 583 (1951)
259	14895	10	328	323	CONFIRM	323	Murdock v. Holquin, 323 B.R. 275
260	14903	7	40	10	CONFIRM	10	33-16-01-10 (printed with hyphen, not "01.")
261	14911	8	868	368	CONFIRM	368	Satran, 368 N.W.2d 533, 536
262	14913	2	289	239	CONFIRM	239	licensed EIY239
263	14915	21	804	304	CONFIRM	304	729 F. Supp. 304, 309-10
264	14919	67	16	46	CONFIRM	46	§§ 28-32-46 and 28-32-49
265	14922	9	16	46	CONFIRM	46	N.D.C.C. § 28-32-46
266	14930	5	850	350	CONFIRM	350	$350,000
267	14935	1	968	963	CONFIRM	963	$7,963.52
268	14938	69	55	35	CONFIRM	35	22 N.D. at 332-35
269	14961	18	28	23	CONFIRM	23	2002 ND 164, ¶ 23
