idx	oid	para	db_token	pdf_token	status	file	context
420	16000	56	508	503	RENDERED	420_16000_p56_508-vs-503.png	...1981 N.D. Sess. Laws ch. [508->503]. The majority also does ...
421	16000	67	89	39	RENDERED	421_16000_p67_89-vs-39.png	...age. And N.D.C.C. § 1-02-[89->39](4) tells us specifically...
422	16010	21	284	234	RENDERED	422_16010_p21_284-vs-234.png	.... Montgomery,*481 N.W.2d [284->234], 235 (N.D. 1992). “[T]he...
423	16013	10	80	30	RENDERED	423_16013_p10_80-vs-30.png	...the order be held within [80->30] days of issuance of the ...
424	16013	11	895	395	RENDERED	424_16013_p11_895-vs-395.png	...of Estate of Kjorvestad,*[895->395] N.W.2d 162, 163-64 (N.D....
425	16015	5	80	30	RENDERED	425_16015_p5_80-vs-30.png	... per week beginning July [80->30], 2012. ...
426	16035	16	28	23	RENDERED	426_16035_p16_28-vs-23.png	...and on or about November [28->23], 2007. The Gundersons en...
427	16037	9	38	33	RENDERED	427_16037_p9_38-vs-33.png	...t v. Wolt,*2010 ND 26, ¶ [38->33], 778 N.W.2d 786; *Wessma...
428	16040	5	08	03	RENDERED	428_16040_p5_08-vs-03.png	...nce with N.D.C.C. ch. 25-[08->03].1 to determine if there ...
429	16043	6	864	364	RENDERED	429_16043_p6_864-vs-364.png	...*See Martin v. Weckerly,*[864->364] N.W.2d 93 (N.D.1985): T...
430	16046	5	134	133	RENDERED	430_16046_p5_134-vs-133.png	...cial District,* 2009 ND [134->133], 770 N.W.2d 218. [[Imag...
431	16067	16	8	3	RENDERED	431_16067_p16_8-vs-3.png	... N.D.R. Lawyer Dis-cipl. [8->3].1(F). Objections to the ...
432	16081	2	838	833	RENDERED	432_16081_p2_838-vs-833.png	...* 2012 ND 6, 809 N.W.2d [838->833]. Swear-ingen applied for...
433	16082	13	738	733	RENDERED	433_16082_p13_738-vs-733.png	...07 ND 87, *540 ¶ 12, [738->733] N.W.2d 241 (“The Legisla...
434	16087	17	13	43	RENDERED	434_16087_p17_13-vs-43.png	....,* 467 N.W.2d 439, 442-[13->43] (N.D.1991); *Vasichek v...
435	16094	21	38	33	RENDERED	435_16094_p21_38-vs-33.png	...Lindberg,*2009 ND 136, ¶ [38->33], 770 N.W.2d 252 (holding...
436	16101	63	12	15	RENDERED	436_16101_p63_12-vs-15.png	... The majority, at ¶ [12->15], incorrectly labels the ...
437	16101	66	12	15	RENDERED	437_16101_p66_12-vs-15.png	... The majority, at ¶ [12->15], cites *State v. Greene,...
438	16101	67	12	15	RENDERED	438_16101_p67_12-vs-15.png	... The majority, at ¶ [12->15], cites *People v. Gilber...
439	16103	3	8	3	RENDERED	439_16103_p3_8-vs-3.png	...e approximate amount of $[8->3].5M.” Hatchett’s letter a...
440	16104	14	08	03	RENDERED	440_16104_p14_08-vs-03.png	...under N.D.C.C. § 30.1-21-[08->03] (U.P.C. § 3-1003) in Sep...
441	16105	26	843	343	RENDERED	441_16105_p26_843-vs-343.png	...l v. Dakota Hills, Inc.,*[843->343] N.W.2d 785 (N.D.1984), w...
442	16107	11	2018	2013	RENDERED	442_16107_p11_2018-vs-2013.png	... school in the spring of [2018->2013]; she is already age 18. ...
443	16117	3	2018	2013	RENDERED	443_16117_p3_2018-vs-2013.png	...h was denied on March 7, [2018->2013]. ...
444	16122	5	840	340	RENDERED	444_16122_p5_840-vs-340.png	...*Mueller v. Stangeland,* [840->340] N.W.2d 450, 452 (N.D.19...
445	16160	10	28	23	RENDERED	445_16160_p10_28-vs-23.png	...ny under N.D.C.C. § 12.1-[28->23]-07, Misapplication of En...
446	16175	2	2018	2013	RENDERED	446_16175_p2_2018-vs-2013.png	...were divorced in January [2018->2013] and Kayla Rath was award...
447	16202	3	28	23	RENDERED	447_16202_p3_28-vs-23.png	... *337 through January [28->23], 2014. This procedure is...
448	16209	3	28	23	RENDERED	448_16209_p3_28-vs-23.png	...ould be completed by May [28->23], 2012. After another fou...
449	16216	10	80	30	RENDERED	449_16216_p10_80-vs-30.png	...icense for approximately [80->30] years. Mary Gwyther’s na...
