idx	oid	para	db_token	pdf_token	status	file	context
330	15640	25	284	234	RENDERED	330_15640_p25_284-vs-234.png	...ited States,*81 Fed. Cl. [284->234] (2007), a self-represent...
331	15643	26	2261	2264	RENDERED	331_15643_p26_2261-vs-2264.png	...rt. *See Hearing on S.B. [2261->2264] Before the House Judicia...
332	15683	6	68	63	RENDERED	332_15683_p6_68-vs-63.png	...amb,*541 N.W.2d 457, 462-[68->63] (N.D.1996) (citing N.D.C...
333	15684	31	16	46	RENDERED	333_15684_p31_16-vs-46.png	...given. In *Micho,*at 745^[16->46], the Court said the evid...
334	15688	2	8500	3500	RENDERED	334_15688_p2_8500-vs-3500.png	..., with the exception of $[8500->3500] to the nursing home. Tha...
335	15688	2	8500	3500	RENDERED	335_15688_p2_8500-vs-3500.png	...sing home. That will be $[8500->3500], the equivalent of or va...
336	15689	8	62	52	RENDERED	336_15689_p8_62-vs-52.png	...ion: Under N.D.R.Civ.P. [62->52](a), this Court reviews a...
337	15691	4	18	13	RENDERED	337_15691_p4_18-vs-13.png	... began on Tuesday, April [18->13], 2010. On Friday, April ...
338	15714	17	1984	1994	RENDERED	338_15714_p17_1984-vs-1994.png	...350 N.W.2d 591, 595 (N.D.[1984->1994])). Contract law, and not...
339	15729	11	8	3	RENDERED	339_15729_p11_8-vs-3.png	...f the children totaling $[8->3],362.08. These expenses w...
340	15730	4	218	213	RENDERED	340_15730_p4_218-vs-213.png	...eywind v. State,*2004 ND [218->213], ¶ 5, 689 N.W.2d 890). ...
341	15730	4	890	390	RENDERED	341_15730_p4_890-vs-390.png	... ND 218, ¶ 5, 689 N.W.2d [890->390]). III. ...
342	15734	30	840	340	RENDERED	342_15734_p30_840-vs-340.png	...e agency had a value of $[840->340],000, including goodwill....
343	15735	14	283	233	RENDERED	343_15735_p14_283-vs-233.png	...5 Wis.2d 259, 499 N.W.2d [283->233] (Wis.Ct.App.1993). ...
344	15744	15	82	32	RENDERED	344_15744_p15_82-vs-32.png	...idence.” N.D.C.C. § 12.1-[82->32]-09(3) and (4)(b). ...
345	15746	5	8	3	RENDERED	345_15746_p5_8-vs-3.png	... testified to receiving $[8->3],000 from Kirkpatrick in ...
346	15752	16	8	3	RENDERED	346_15752_p16_8-vs-3.png	...er N.D.C.C. § 12.1-06-01([8->3]) the district court erre...
347	15758	5	87	37	RENDERED	347_15758_p5_87-vs-37.png	...s under N.D.C.C. § 47-16-[87->37]. Beaudoins moved for sum...
348	15759	8	31	81	RENDERED	348_15759_p8_31-vs-81.png	...State v. Fields, 2003 ND [31->81], 1 6, 662 N.W.2d 242. A...
349	15760	9	8	3	RENDERED	349_15760_p9_8-vs-3.png	...tils., Co., 2011 ND 38, ¶[8->3], 794 N.W.2d 741). A [T...
350	15760	14	408	403	RENDERED	350_15760_p14_408-vs-403.png	...C.1968), aff'd, 407 F.2d [408->403] (4th Cir.1969),] plaint...
351	15760	17	598	593	RENDERED	351_15760_p17_598-vs-593.png	... Goble, 1999 SD 38, 115, [598->593] N.W.2d 402. ...
352	15760	17	598	593	RENDERED	352_15760_p17_598-vs-593.png	...Go-ble, 1999 SD 38, 113, [598->593] N.W.2d 402; see also S.D...
353	15760	19	1998	1993	RENDERED	353_15760_p19_1998-vs-1993.png	...18, 428 S.E.2d 700, 702 ([1998->1993]). Other courts say no. S...
354	15760	24	8	3	RENDERED	354_15760_p24_8-vs-3.png	...reach of that duty; and ([8->3]) injury to the third per...
355	15789	12	18	13	RENDERED	355_15789_p12_18-vs-13.png	...D. Sess. Laws ch. 295, § [18->13] (emphasis added). The cu...
356	15793	6	18	13	RENDERED	356_15793_p6_18-vs-13.png	...t property allowance of $[18->13],000 under Michigan law, ...
357	15793	6	87	37	RENDERED	357_15793_p6_87-vs-37.png	...erests when he died was $[87->37],260, and for her claims,...
358	15803	7	738	733	RENDERED	358_15803_p7_738-vs-733.png	...,*2007 ND \*44884, ¶ 13, [738->733] N.W.2d 225. Although the...
359	15808	8	589	539	RENDERED	359_15808_p8_589-vs-539.png	...perative. *Zimbleman,* [589->539] N.W.2d at 71. Conditions...
