idx	oid	para	db_token	pdf_token	status	file	context
270	14961	18	86	36	RENDERED	270_14961_p18_86-vs-36.png	...n. *See*N.D.C.C. § 27-20-[86->36]; *In re K.S.,*2002 ND 16...
271	14962	13	08	03	RENDERED	271_14962_p13_08-vs-03.png	...ly with N.D.C.C. § 39-20-[08->03].1(3). IV ...
272	14990	12	82	32	RENDERED	272_14990_p12_82-vs-32.png	...lgers**,* at *442 ¶ [82->32]. The defendant has the b...
273	15001	19	17	47	RENDERED	273_15001_p19_17-vs-47.png	...eements. Section 45-10.1^[17->47](4), N.D.C.C., provided t...
274	15007	14	8	3	RENDERED	274_15007_p14_8-vs-3.png	...ived children on October [8->3], 2006. T.L. does not dis...
275	15011	16	113	133	RENDERED	275_15011_p16_113-vs-133.png	...’t of Transp.,* 2003 ND [113->133], ¶ 15, 665 N.W.2d 45); ...
276	15013	22	80	30	RENDERED	276_15013_p22_80-vs-30.png	...that West Side advanced $[80->30],000 to Stergo and Stergo...
277	15032	12	8	3	RENDERED	277_15032_p12_8-vs-3.png	...re Pecora,* 297 B.R. 1, [8->3] (Bkrtcy.W.D.N.Y.2003), t...
278	15041	18	434	634	RENDERED	278_15041_p18_434-vs-634.png	...s. Exch.,* 61 N.W.2d at [434->634], the facts that establis...
279	15054	2	87	37	RENDERED	279_15054_p2_87-vs-37.png	...ng to N.D.C.C. § 16.1-11-[87->37], the name of the two per...
280	15089	10	8	3	RENDERED	280_15089_p10_8-vs-3.png	...ciousness of guilt; and ([8->3]) the State committed pro...
281	15097	7	138	133	RENDERED	281_15097_p7_138-vs-133.png	...gation be modified to $2,[138->133] for two children. ...
282	15106	2	894	394	RENDERED	282_15106_p2_894-vs-394.png	...s interim obligation at $[894->394] per month, and ordering ...
283	15106	5	806	306	RENDERED	283_15106_p5_806-vs-306.png	...Serr to pay Amanda Serr $[806->306] per month for child supp...
284	15107	4	68	63	RENDERED	284_15107_p4_68-vs-63.png	...awarded Schipper $45,601.[68->63] plus prejudgment interes...
285	15137	9	387	337	RENDERED	285_15137_p9_387-vs-337.png	... Grain Terminal Ass’n,* [387->337] N.W.2d 427, 430 (N.D.198...
286	15152	33	152	153	RENDERED	286_15152_p33_152-vs-153.png	...t. *Parisien,* 2005 ND [152->153], ¶ 8, 703 N.W.2d 306. ...
287	15164	18	16	46	RENDERED	287_15164_p18_16-vs-46.png	...Frank, 186 N.W.2d at 443-[16->46], this Court discussed is...
288	15167	14	745	743	RENDERED	288_15167_p14_745-vs-743.png	...identical,” *Overboe,* [745->743] N.W.2d at 861, n. 4, and...
289	15172	7	1082	1032	RENDERED	289_15172_p7_1082-vs-1032.png	...v. Moore,*586 F.2d 1029, [1082->1032] (4th Cir.1978). ...
290	15205	27	16	15	RENDERED	290_15205_p27_16-vs-15.png	... Myers,* 2006 ND 242, ¶ [16->15], 724 N.W.2d 168, one of ...
291	15211	17	1971	1972	RENDERED	291_15211_p17_1971-vs-1972.png	...2d 241, 244 (Wash.Ct.App.[1971->1972])). Section 41-02-33, N.D...
292	15216	9	80	30	RENDERED	292_15216_p9_80-vs-30.png	... Inc., 133 P.3d 276, 278-[80->30] (Okla. 2006); Jessop v. ...
293	15224	10	088	083	RENDERED	293_15224_p10_088-vs-083.png	...lood-alcohol content of .[088->083]%. K.S.’s breath sample p...
294	15256	21	800	300	RENDERED	294_15256_p21_800-vs-300.png	... Lithun,* 447 N.W.2d at [800->300]. A ...
295	15260	16	485	435	RENDERED	295_15260_p16_485-vs-435.png	... Missouri v. Horowitz,* [485->435] U.S. 78, 92, 98 S.Ct. 94...
296	15261	18	408	403	RENDERED	296_15261_p18_408-vs-403.png	...theless, under N.D.R.Ev. [408->403], the district court may ...
297	15267	3	180	130	RENDERED	297_15267_p3_180-vs-130.png	...t against Tarnavsky for $[180->130],837.69, plus interest. T...
298	15271	8	81	31	RENDERED	298_15271_p8_81-vs-31.png	...tivity.” N.D.C.C. § 12.1-[81->31].2-01(1). Whether speech ...
299	15283	16	1995	1985	RENDERED	299_15283_p16_1995-vs-1985.png	...526 N.W.2d 487, 490 (N.D.[1995->1985]) (citations omitted), we...
