idx	oid	para	db_token	pdf_token	status	file	context
390	15876	5	2081	2031	RENDERED	390_15876_p5_2081-vs-2031.png	...ctive until December 31, [2081->2031]. The protection order gr...
391	15879	12	2008	2003	RENDERED	391_15879_p12_2008-vs-2003.png	...al provisions. *Beciraj,*[2008->2003] ND 173, ¶ 15, 671 N.W.2d...
392	15883	15	866	366	RENDERED	392_15883_p15_866-vs-366.png	...1999 N.D. Sess. Laws ch. [866->366]. The legislature’s omiss...
393	15885	1	708	703	RENDERED	393_15885_p1_708-vs-703.png	...on to pay Kyllo \*514$24,[708->703].97 after a bench trial i...
394	15885	16	383	333	RENDERED	394_15885_p16_383-vs-333.png	...William Clairmont, Inc.,*[383->333] N.W.2d 414, 418 (N.D.198...
395	15888	10	1969	1968	RENDERED	395_15888_p10_1969-vs-1968.png	...t. 1166, 22 L.Ed.2d 418 ([1969->1968])). ...
396	15902	7	128	123	RENDERED	396_15902_p7_128-vs-123.png	...*122 N.D. Sess. Laws ch. [128->123], §§ 2, 4. The parties di...
397	15906	17	338	333	RENDERED	397_15906_p17_338-vs-333.png	...”); *Muehler v. Muehler,*[338->333] N.W.2d 432, 434 (N.D.198...
398	15932	16	428	423	RENDERED	398_15932_p16_428-vs-423.png	...n v. Mooney,* 279 N.W.2d [428->423], 429 (N.D.1979)): “ ...
399	15933	28	689	639	RENDERED	399_15933_p28_689-vs-639.png	...ements in the amount of $[689->639].35, Wheeler moved for re...
400	15936	4	82	32	RENDERED	400_15936_p4_82-vs-32.png	...horized under N.D.C.C. § [82->32]-03.2-11(1) for her actio...
401	15939	16	1995	1985	RENDERED	401_15939_p16_1995-vs-1985.png	...N.W.2d 289, 300-01 (N.D. [1995->1985]). rv ...
402	15943	16	8	3	RENDERED	402_15943_p16_8-vs-3.png	...n Fund in the amount of $[8->3],000.00 to reimburse amou...
403	15943	19	0580	0530	RENDERED	403_15943_p19_0580-vs-0530.png	...enue, Bismarck, ND 58505-[0580->0530]. ...
404	15948	20	2	3	RENDERED	404_15948_p20_2-vs-3.png	...99 ND 181, ¶ 15, 599 N.W.[2->3]d 323. ...
405	15960	7	18	13	RENDERED	405_15960_p7_18-vs-13.png	...ed under N.D.C.C. ch. 31-[18->13] to administer the buccal...
406	15963	9	18	13	RENDERED	406_15963_p9_18-vs-13.png	.... Ficklin,*2006 ND 40, ¶ [18->13], 710 N.W.2d 387). We hav...
407	15966	7	80	30	RENDERED	407_15966_p7_80-vs-30.png	...linary proceeding within [80->30] days of entry of judgmen...
408	15966	11	80	30	RENDERED	408_15966_p11_80-vs-30.png	...amount of $500.00 within [80->30] days of the entry of jud...
409	15967	16	12	42	RENDERED	409_15967_p16_12-vs-42.png	...20-24 and sections 14-20^[12->42] and 14-20-44, a proceedi...
410	15968	12	8	3	RENDERED	410_15968_p12_8-vs-3.png	...ee also*N.D.C.C. § 25-03.[8->3]-13 (60-day limit for com...
411	15973	9	728	723	RENDERED	411_15973_p9_728-vs-723.png	...re R.H.,*262 N.W.2d 719, [728->723] (N.D.1978). The Court al...
412	15973	9	835	335	RENDERED	412_15973_p9_835-vs-335.png	... heard. *See In re B.M.,*[835->335] N.W.2d 321, 323 (N.D.198...
413	15978	10	88	38	RENDERED	413_15978_p10_88-vs-38.png	...bout $180,000 and about $[88->38],000 in other debts. Lome...
414	15980	12	708	703	RENDERED	414_15980_p12_708-vs-703.png	... in the field. N.D.R.Ev. [708->703]. In *Perius v. Nodak Mut...
415	15984	27	558	553	RENDERED	415_15984_p27_558-vs-553.png	...See Bangen v. Bartelson,*[558->553] N.W.2d 754, 756-57 (N.D....
416	15990	12	08	03	RENDERED	416_15990_p12_08-vs-03.png	...disagree. “Section 39-20-[08->03].1 ... reflects a legisla...
417	15991	9	1010	1040	RENDERED	417_15991_p9_1010-vs-1040.png	...ustody. *Hearing on H.B. [1010->1040], supra,*(Report of the L...
418	15996	17	28	23	RENDERED	418_15996_p17_28-vs-23.png	...ment was entered on July [28->23], 2012. No motion for mod...
419	15997	10	82	32	RENDERED	419_15997_p10_82-vs-32.png	... or station.” N.D.C.C. § [82->32]-34-01. It, is well estab...
