idx	oid	para	db_token	pdf_token	status	file	context
572	16872	26	28	23	RENDERED	572_16872_p26_28-vs-23.png	... $125,045.48 to $123,519.[28->23]. ERS then filed a motion...
573	16875	20	16	15	RENDERED	573_16875_p20_16-vs-15.png	...v. State, 2000 ND 162, ¶ [16->15], 615 N.W.2d 574. To esta...
574	16875	31	189	139	RENDERED	574_16875_p31_189-vs-139.png	...ined ProHealth owed $883,[189->139].35 for interest and Step...
575	16875	31	883	383	RENDERED	575_16875_p31_883-vs-383.png	...termined ProHealth owed $[883->383],189.35 for interest and ...
576	16877	12	1986	1985	RENDERED	576_16877_p12_1986-vs-1985.png	...376 N.W.2d 33, 36 (N.D. [1986->1985])). ...
577	16877	13	346	345	RENDERED	577_16877_p13_346-vs-345.png	...n Case Number 50-2013-CR-[346->345], this is what would happ...
578	16886	17	1988	1983	RENDERED	578_16886_p17_1988-vs-1983.png	...uidelines,” dated August [1988->1983] (“OSM Guidelines”). Befo...
579	16886	25	2018	2013	RENDERED	579_16886_p25_2018-vs-2013.png	...irst alfalfa cuttings in [2018->2013] and 2014 from the upland...
580	16895	1	06	05	RENDERED	580_16895_p1_06-vs-05.png	...vacancy under Section 27-[06->05]-02.1, N.D.C.C. ...
581	16926	20	773	779	RENDERED	581_16926_p20_773-vs-779.png	....2d at *581; Sanders,* [773->779] P.2d at 1245. Once the w...
582	16932	7	82	32	RENDERED	582_16932_p7_82-vs-32.png	... proceeding.” N.D.C.C. § [82->32]-28-06. A ...
583	16956	10	2003	2013	RENDERED	583_16956_p10_2003-vs-2013.png	... on *State v. Fields,* [2003->2013] ND 81, 662 N.W.2d 242. ...
584	16959	8	306	305	RENDERED	584_16959_p8_306-vs-305.png	...esota v. United States,* [306->305] U.S. 382, 386-388 , 59 S...
585	16961	4	85	35	RENDERED	585_16961_p4_85-vs-35.png	...file a motion under Rule [85->35], N.D.R.Crim.P., and requ...
586	16972	23	2011	2001	RENDERED	586_16972_p23_2011-vs-2001.png	...nt. 407 , 259 P.3d 766 ([2011->2001]), the court was asked to...
587	16978	13	6	5	RENDERED	587_16978_p13_6-vs-5.png	...* 299 F.3d 420, 452-53 ([6->5]th Cir. 2002); *People v...
588	16980	2	3461	3451	RENDERED	588_16980_p2_3461-vs-3451.png	...lating Minn. Stat. § 609.[3461->3451], for lewd exhibition, gr...
589	16980	11	8	3	RENDERED	589_16980_p11_8-vs-3.png	... Section 12.1-32-15([8->3]), N.D.C.C., imposes a du...
590	16986	8	687	587	RENDERED	590_16986_p8_687-vs-587.png	...rial Comm’n,* 466 N.W.2d [687->587] , 690 (N.D. 1991). “Subs...
591	16986	8	690	590	RENDERED	591_16986_p8_690-vs-590.png	...omm’n,* 466 N.W.2d 687 , [690->590] (N.D. 1991). “Substantia...
592	16986	8	82	32	RENDERED	592_16986_p8_82-vs-32.png	...ions under N.D.C.C. § 28-[82->32]-46. *Hanson v. Industri...
593	16986	10	426	425	RENDERED	593_16986_p10_426-vs-425.png	... ND 72, ¶ 11, 764 N.W.2d [426->425]. We conclude the same pr...
594	16996	19	81	31	RENDERED	594_16996_p19_81-vs-31.png	...*Keller,* 2005 ND 86, ¶ [81->31], 695 N.W.2d 703). “The p...
595	17012	6	60	50	RENDERED	595_17012_p6_60-vs-50.png	... v. Pippin,* 496 N.W.2d [60->50], 52-53 (N.D. 1993). ...
596	17014	3	60	50	RENDERED	596_17014_p3_60-vs-50.png	... the State had reserved “[60->50]% of all oil, natural gas...
597	17021	27	06	05	RENDERED	597_17021_p27_06-vs-05.png	...681. Under N.D.C.C. § 65-[06->05]-33, this Court has estab...
598	17022	6	18	13	RENDERED	598_17022_p6_18-vs-13.png	... rescheduled for January [18->13], 2017, but on that day T...
599	17029	11	1288	1283	RENDERED	599_17029_p11_1288-vs-1283.png	...s agreement.” *Id.* at [1288->1283]. The court also noted th...
600	17033	16	6126	6125	RENDERED	600_17033_p16_6126-vs-6125.png	...# 6124 Allen 434 .00 CK# [6126->6125] Margie 434.00 Bobby: ...
601	17048	2	8	3	RENDERED	601_17048_p2_8-vs-3.png	...der N.D.R.App.P. 35.1(a)([8->3]) and (7). Jon J. Jensen...
