480	16340	2	80	30	CONFIRM	30
481	16350	10	8	3	CONFIRM	3	standalone numbered paragraph "3."
482	16353	12	08	03	CONFIRM	03	crop shows different sentence of same para but identical cite § 35-03-01.2(4)
483	16353	13	08	03	CONFIRM	03
484	16361	2	2018	2013	CONFIRM	2013
485	16362	1	8	3	CONFIRM	3	Rule 35(a)(3)
486	16362	11	2018	2013	CONFIRM	2013
487	16366	10	1958	1953	CONFIRM	1953
488	16375	11	81	31	CONFIRM	31	§ 12.1-31.2-01
489	16380	2	2018	2013	CONFIRM	2013
490	16387	5	2018	2013	CONFIRM	2013
491	16391	3	28	23	CONFIRM	23	June 23, 2011
492	16391	19	892	392	CONFIRM	392	crop shows full cite State v. Haugen, 392 N.W.2d 799, 803; short-form "at 805" spot not in crop but same case/volume in same para
493	16394	19	81	31	CONFIRM	31	§ 12.1-31.2-01(1)
494	16402	11	0580	0530	CONFIRM	0530	58505-0530
495	16411	26	28	23	CONFIRM	23	§ 32-23-03
497	16444	13	1998	1993	CONFIRM	1993	(N.D. 1993)
498	16448	19	8	3	CONFIRM	3	§ 32-09.1-08(3)
499	16448	22	2018	2013	CONFIRM	2013	October 28, 2013
500	16449	5	81	31	CONFIRM	31	28-26-31
501	16473	11	587	537	CONFIRM	537	537 F.2d 554, 558 (1st Cir. 1976)
502	16483	6	38	33	CONFIRM	33	cite wraps; line reads "33(2)."
503	16493	7	128	123	CONFIRM	123	$123,387.44
504	16506	12	10	40	CONFIRM	40	§ 57-02-40(1)
505	16507	20	2011	2001	CONFIRM	2001	print clearly reads "2001 ND 91, ¶ 15, 796 N.W.2d 662"; actual Smestad v. Harris is 2011 ND 91 — apparent typo in printed source; DB's 2011 is the legally correct cite
506	16510	25	2018	2013	CONFIRM	2013
507	16512	15	349789	349739	CONFIRM	349739	WL 349739, at *13
508	16512	15	589	539	CONFIRM	539	539 S.E.2d 873, 878
509	16516	8	8	3	CONFIRM	3	wrapped cite; line reads "3.1(F)"
510	16524	3	80	30	CONFIRM	30	April 30th, 2013
