idx	oid	para	db_token	pdf_token	status	file	context
150	13749	11	680	630	RENDERED	150_13749_p11_680-vs-630.png	...te,* 2001 ND 126, ¶ 19, [680->630] N.W.2d 66. He may not ra...
151	13749	11	82	32	RENDERED	151_13749_p11_82-vs-32.png	...ore, under N.D.C.C. § 29-[82->32].1-12(2)(a), Murchison ha...
152	13753	6	3801	3301	RENDERED	152_13753_p6_3801-vs-3301.png	...am. *See* 26 U.S.C. §§ [3801->3301] through 3311; N.D.C.C. c...
153	13753	15	798	793	RENDERED	153_13753_p15_798-vs-793.png	... In *Edinger,* [798->793] P.2d at 1007, the court ...
154	13789	18	89	39	RENDERED	154_13789_p18_89-vs-39.png	...governed by N.D.R.Civ.P. [89->39].1(b), which provides: ...
155	13795	5	8	3	RENDERED	155_13795_p5_8-vs-3.png	...onships; he was awarded $[8->3],000,000 in damages. Misk...
156	13812	16	803	303	RENDERED	156_13812_p16_803-vs-303.png	...ll Tel. Co. v. Cowger,* [803->303] N.W.2d 791, 795 (N.D.198...
157	13813	17	656	655	RENDERED	157_13813_p17_656-vs-655.png	...,* 2003 ND 5, ¶ 2 n. 2, [656->655] N.W.2d 712. ...
158	13814	5	887	837	RENDERED	158_13814_p5_887-vs-837.png	...stgo, Inc.,* 479 N.W.2d [887->837], 844 (N.D.1992)). “A tri...
159	13830	15	89	39	RENDERED	159_13830_p15_89-vs-39.png	...n violation of NDCC [§ ] [89->39]-08-01 or equivalent ordi...
160	13850	7	2002	2003	RENDERED	160_13850_p7_2002-vs-2003.png	... Act,* 100 A.L.R.5th 1 ([2002->2003]). The most significant c...
161	13854	14	568	563	RENDERED	161_13854_p14_568-vs-563.png	... *Aune,* 478 N.W.2d at [568->563]-64; *Oberlander,* 460 ...
162	13881	2	1998	1993	RENDERED	162_13881_p2_1998-vs-1993.png	...street. Between 1990 and [1998->1993], Grewal built four apart...
163	13882	9	28	23	RENDERED	163_13882_p9_28-vs-23.png	... Ass’n,* 2002 ND 209, ¶ [28->23], 655 N.W.2d 60 (citation...
164	13882	17	348	343	RENDERED	164_13882_p17_348-vs-343.png	...ment (Second) of Torts § [348->343]A (1965)). Additionally, ...
165	13922	10	892	392	RENDERED	165_13922_p10_892-vs-392.png	...Corp. v. Christianson,* [892->392] N.W.2d 385, 386 (N.D.198...
166	13940	10	1885	1385	RENDERED	166_13940_p10_1885-vs-1385.png	.... Practice & Procedure § [1885->1385]* (2d ed.1990) for his p...
167	13944	6	19	49	RENDERED	167_13944_p6_19-vs-49.png	...C. §§ 28-32-46 and 28-32^[19->49], we affirm an agency’s d...
168	13959	19	382	388	RENDERED	168_13959_p19_382-vs-388.png	...wnship v. Skauge, 6 N.D. [382->388] , 71 N.W. 544 . Id. at 6...
169	13993	4	2008	2003	RENDERED	169_13993_p4_2008-vs-2003.png	...ring was held on July 2, [2008->2003]. At the hearing, Kline d...
170	13998	8	16	15	RENDERED	170_13998_p8_16-vs-15.png	...04(4), 12.1-06.1-01(2)00([16->15]), 12.1-06.1-05, 12.1-11-...
171	13998	9	781	281	RENDERED	171_13998_p9_781-vs-281.png	...p.4th 392, 6 Cal.Rptr.2d [781->281] (1992); *Murphy v. A.A....
172	13999	31	1992	1994	RENDERED	172_13999_p31_1992-vs-1994.png	...485 N.W.2d 792, 795 (N.D.[1992->1994]). “On review, we do not ...
173	14012	16	2002	2001	RENDERED	173_14012_p16_2002-vs-2001.png	...also State v. Daggett,* [2002->2001] WI App 32, ¶ 15, 640 N.W...
174	14048	23	1975	1995	RENDERED	174_14048_p23_1975-vs-1995.png	...26 N.W.2d 370, 371 (N.D.[1975->1995]). The Court has no infor...
175	14057	4	82	32	RENDERED	175_14057_p4_82-vs-32.png	...ouch’s account, and the $[82->32],000 check Couch wrote fo...
176	14062	6	2002	2001	RENDERED	176_14062_p6_2002-vs-2001.png	...4 F.3d 797, 803 (8th Cir.[2002->2001]). A party may move for j...
177	14064	16	89	39	RENDERED	177_14064_p16_89-vs-39.png	...provisions in N.D.C.C. § [89->39]-20-03.1 are basic and ma...
178	14087	10	1925	1923	RENDERED	178_14087_p10_1925-vs-1923.png	...S.Ct. 280, 69 L.Ed. 543 ([1925->1923]). Under the automobile e...
179	14088	16	8	3	RENDERED	179_14088_p16_8-vs-3.png	...ation. Q. And there’s [8->3] denominations? A. Yes...
