idx	oid	para	db_token	pdf_token	status	file	context
602	17052	16	1998	1993	RENDERED	602_17052_p16_1998-vs-1993.png	...6 N.W.2d 566 , 570 (N.D. [1998->1993]), this Court considered ...
603	17055	12	08	03	RENDERED	603_17055_p12_08-vs-03.png	...er court.” N.D.C.C. § 25-[08->03].1-29. “To balance the co...
604	17066	9	567	597	RENDERED	604_17066_p9_567-vs-597.png	...iting Miller v. Alabama, [567->597] U.S. 460, 132 S.Ct. 2455...
605	17066	21	562	552	RENDERED	605_17066_p21_562-vs-552.png	.... Danforth v. Minnesota, [562->552] U.S. 264, 271, 128 S.Ct....
606	17066	25	1996	1995	RENDERED	606_17066_p25_1996-vs-1995.png	...993 through September of [1996->1995]. A number of the offense...
607	17067	2	812	312	RENDERED	607_17067_p2_812-vs-312.png	...ection 13: Farm Unit No. [812->312] in the Buford-Trenton Pr...
608	17072	1	85	35	RENDERED	608_17072_p1_85-vs-35.png	...ffirm under N.D.R.App.P. [85->35].1(a)(2). Broadwell v. St...
609	17074	17	163	153	RENDERED	609_17074_p17_163-vs-153.png	... of Section 23, Township [163->153] North, Range 92 West, no...
610	17078	27	269	259	RENDERED	610_17078_p27_269-vs-259.png	...2011; $266,060 in 2012; $[269->259],184 in 2013; $160,697 in...
611	17080	9	6	5	RENDERED	611_17080_p9_6-vs-5.png	... Section 50-24,1-24([6->5]), N.D.C.C., governs a pr...
612	17093	13	1866	1865	RENDERED	612_17093_p13_1866-vs-1865.png	... Territory Civil Code of [1866->1865]. Werlinger v. Mutual Ser...
613	17093	13	63	53	RENDERED	613_17093_p13_63-vs-53.png	..., S.D. Codified Laws. §. [63->53]-9-11 (allowing non-compe...
614	17093	13	861	851	RENDERED	614_17093_p13_861-vs-851.png	... Center, 479 N.W.2d 848, [861->851]-62 (N.D. 1992) (restrict...
615	17104	4	6	5	RENDERED	615_17104_p4_6-vs-5.png	...ned in his brief. On May [6->5], 2017, the district cour...
616	17105	10	8	3	RENDERED	616_17105_p10_8-vs-3.png	...ation was determined. [8->3]. Mr. Betz, acting as a s...
617	17281	17	1	7	RENDERED	617_17281_p17_1-vs-7.png	...cEvers Jon J. Jensen [1->7] The original partnershi...
618	17530	11	1982	1984	RENDERED	618_17530_p11_1982-vs-1984.png	"...W.2d 84 , 88 n.4 (N.D. [1982->1984]). ""If juror misconduct i..."
619	17803	25	266	366	RENDERED	619_17803_p25_266-vs-366.png	...and v. Pringle, 540 U.S. [266->366] (2003) as dispositive, ...
620	18137	19	1	3	RENDERED	620_18137_p19_1-vs-3.png	...lated in Calder v. Bull, [1->3] U.S. 269 , 273 (1798)). ...
