420	16000	56	508	503	CONFIRM	503
421	16000	67	89	39	CONFIRM	39	N.D.C.C. § 1-02-39(4)
422	16010	21	284	234	CONFIRM	234	481 N.W.2d 234, 235
423	16013	10	80	30	CONFIRM	30	held within 30 days
424	16013	11	895	395	CONFIRM	395	Kjorvestad, 395 N.W.2d
425	16015	5	80	30	CONFIRM	30	July 30, 2012
426	16035	16	28	23	CONFIRM	23	November 23
427	16037	9	38	33	CONFIRM	33	Wolt, 2010 ND 26, ¶ 33
428	16040	5	08	03	CONFIRM	03	ch. 25-03.1
429	16043	6	864	364	CONFIRM	364	Martin v. Weckerly, 364 N.W.2d 93
430	16046	5	134	133	CONFIRM	133	2009 ND 133
431	16067	16	8	3	CONFIRM	3	Discipl. 3.1(F)
432	16081	2	838	833	CONFIRM	833	809 N.W.2d 833
433	16082	13	738	733	CONFIRM	733	¶ 12, 733 N.W.2d
434	16087	17	13	43	UNCLEAR		crop shows only "No. 20120343"; context phrase not visible
435	16094	21	38	33	CONFIRM	33	33, 770 N.W.2d 252
436	16101	63	12	15	CONFIRM	15	majority, at ¶ 15
437	16101	66	12	15	CONFIRM	15	¶66: majority, at ¶ 15, cites State v. Greene
438	16101	67	12	15	UNCLEAR	15 (wrong spot)	crop identical to idx 437 (¶66 Greene); ¶67 People v. Gilbert spot not shown
439	16103	3	8	3	CONFIRM	3	$3.5M
440	16104	14	08	03	CONFIRM	03	03 (U.P.C. § 3-1003)
441	16105	26	843	343	CONFIRM	343	Striegel v. Dakota Hills, Inc., 343
442	16107	11	2018	2013	CONFIRM	2013	spring of 2013
443	16117	3	2018	2013	CONFIRM	2013	March 7, 2013
444	16122	5	840	340	CONFIRM	340	Mueller v. Stangeland, 340 N.W.2d 450
445	16160	10	28	23	CONFIRM	23	12.1-23-07
446	16175	2	2018	2013	CONFIRM	2013	January 2013
447	16202	3	28	23	CONFIRM	23	January 23, 2014
448	16209	3	28	23	CONFIRM	23	May 23, 2012
449	16216	10	80	30	CONFIRM	30	approximately 30 years
